year,playerName,position,batting_order,school
2022,Bertram, Riley,SS,7,Michigan
2022,Rogers, Jordon,DH,8,Michigan
2022,Fedje-Johnson, Alex,2B,9,Michigan
2022,Denner, Jacob,P,SP,Michigan
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF/CF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Caron, Josh,DH,6,Nebraska
2022,Steil, Jack,1B,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Jessen, Luke,DH,6,Nebraska
2022,Steil, Jack,1B,7,Nebraska
2022,Jackson, Core,2B,8,Nebraska
2022,Palmer, Tyler,CF,9,Nebraska
2022,Jelkin, Jaxon,P,SP,Nebraska
2022,Meggs, Andrew,2B,1,Creighton
2022,Roden, Alan,1B,2,Creighton
2022,Wegner, Jared,LF,3,Creighton
2022,Esposito , Chris,CF,4,Creighton
2022,Sailors , Nolan,DH,5,Creighton
2022,Grace, Jack,RF,6,Creighton
2022,Clifford, Nolan,SS,7,Creighton
2022,Hess , Kyle,3B,8,Creighton
2022,Helligso , Hogan,C,9,Creighton
2022,Tebrake, Dylan,P,SP,Creighton
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,DH,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Jackson, Core,2B,6,Nebraska
2022,Banjoff, Leighton,LF,7,Nebraska
2022,Sartori, Luke,CF,8,Nebraska
2022,Steil, Jack,1B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Ernst, Marcus,3B,1,Ohio St.
2022,Dezenzo, Zach,1B,2,Ohio St.
2022,Pettorini, Tyler,2B,3,Ohio St.
2022,Kern, Kade,CF,4,Ohio St.
2022,Lipsey, Trey,LF,5,Ohio St.
2022,Brookman, Archer,C,6,Ohio St.
2022,Robinson, Blayne,DH,7,Ohio St.
2022,Okuley, Mitchell,RF,8,Ohio St.
2022,McAlister, Josh,SS,9,Ohio St.
2022,Coupet, Isaiah,P,SP,Ohio St.
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Wimmers, Nick,DH,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,Frank, Koty,P,SP,Nebraska
2022,Ernst, Marcus,LF,1,Ohio St.
2022,Dezenzo, Zach,1B,2,Ohio St.
2022,Pettorini, Tyler,2B,3,Ohio St.
2022,Kern, Kade,CF,4,Ohio St.
2022,Robinson, Blayne,DH,5,Ohio St.
2022,Bauer, Colton,3B,6,Ohio St.
2022,Okuley, Mitchell,RF,7,Ohio St.
2022,Reckart, Drew,SS,8,Ohio St.
2022,Todys, Brent,C,9,Ohio St.
2022,Haberthier, Nate,P,SP,Ohio St.
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Wimmers, Nick,DH,6,Nebraska
2022,Jackson, Core,2B,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Sartori, Luke,CF,9,Nebraska
2022,McCarville, Dawson,P,SP,Nebraska
2022,Ernst, Marcus,SS,1,Ohio St.
2022,Dezenzo, Zach,1B,2,Ohio St.
2022,Pettorini, Tyler,2B,3,Ohio St.
2022,Kern, Kade,CF,4,Ohio St.
2022,Robinson, Blayne,DH,5,Ohio St.
2022,Bauer, Colton,3B,6,Ohio St.
2022,Lipsey, Trey,LF,7,Ohio St.
2022,Brookman, Archer,C,8,Ohio St.
2022,Okuley, Mitchell,RF,9,Ohio St.
2022,Loncar, Wyatt,P,SP,Ohio St.
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,DH,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Caron, Josh,C,6,Nebraska
2022,Sartori, Luke,CF,7,Nebraska
2022,Steil, Jack,1B,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,Christo, Drew,P,SP,Nebraska
2022,Hanafan, Will,CF,1,Omaha
2022,Denk, Harrison,RF,2,Omaha
2022,Boeve, Mike,3B,3,Omaha
2022,Greise, Noah,DH,4,Omaha
2022,Satisky, Eddie,1B,5,Omaha
2022,Rosario, Eduardo,C,6,Omaha
2022,Lombardi, Jack,LF,7,Omaha
2022,Frederick, Cam,2B,8,Omaha
2022,Hurdle, Devin,SS,9,Omaha
2022,Gordon, Jackson,P,SP,Omaha
2022,Lasko, Ryan,CF,1,Rutgers
2022,Schiekofer, Richie,RF,2,Rutgers
2022,Cimillo, Nick,C,3,Rutgers
2022,DiGeorgio, Danny,SS,4,Rutgers
2022,Sleight, Evan,DH,5,Rutgers
2022,Santa Maria, Tony,3B,6,Rutgers
2022,Brito, Chris,1B,7,Rutgers
2022,Kuroda-Grauer, Joshua,2B,8,Rutgers
2022,Nyisztor, Mike,LF,9,Rutgers
2022,Kollar, Jared,P,SP,Rutgers
2022,Matthews, Brice,SS,1,Nebraska
2022,Chick, Cam,LF,2,Nebraska
2022,Anderson, Max,3B,3,Nebraska
2022,Everitt, Griffin,C,4,Nebraska
2022,Anglim, Garrett,RF,5,Nebraska
2022,Wimmers, Nick,DH,6,Nebraska
2022,Sartori, Luke,CF,7,Nebraska
2022,Gomes, Colby,1B,8,Nebraska
2022,Cervantes, Efry,2B,9,Nebraska
2022,Schanaman, Shay,P,SP,Nebraska
2022,Lasko, Ryan,CF,1,Rutgers
2022,DiGeorgio, Danny,SS,2,Rutgers
2022,Cimillo, Nick,C,3,Rutgers
2022,Santa Maria, Tony,2B,4,Rutgers
